Kratica stranke,Ime stranke,Predsednik
DeSUS ,Demokratična stranka upokojencev Slovenije ,Ljubo Jasnič 
DD ,Dobra država ,Smiljan Mekicar 
DOM ,Domovinska liga ,Bernard Brščič 
Resni.ca ,Državljansko gibanje Resni.ca ,Zoran Stevanović 
SVOBODA ,Gibanje SVOBODA ,Robert Golob 
SOS ,Gibanje SOS ,Gaber Marolt 
Konkretno ,Konkretno ,Zdravko Počivalšek 
Levica ,Levica ,Luka Mesec 
LBP ,Lista Borisa Popoviča ,Boris Popovič 
LMŠ ,Lista Marjana Šarca ,Marjan Šarec 
ND ,NAŠA DEŽELA ,Aleksandra Pivec 
SNP ,Naša prihodnost ,Ivan Gale 
NSD ,Narodna stranka dela ,Marjan Poljšak 
ZD ,Nestrankarska LJUDSKA LISTA gibanja Zdrava družba ,Polona Kambič 
NSi ,Nova Slovenija - krščanski demokrati ,Matej Tonin 
Pirati ,Piratska stranka ,Boštjan Tavčar 
NLS ,Nova ljudska stranka ,Željko Vogrin 
NS ,Nova socialdemokracija ,Andrej Magajna 
SDS ,Slovenska demokratska stranka ,Janez Janša 
SLS ,Slovenska ljudska stranka ,Marjan Podobnik 
SNS ,Slovenska nacionalna stranka ,Zmago Jelinčič Plemeniti 
SSN ,Stranka slovenskega naroda ,Miha Majc 
SAK ,Stranka Aleksandra Kamenika ,Aleksander Kamenik 
SD ,Socialni demokrati ,Tanja Fajon 
SAB ,Stranka Alenke Bratušek ,Alenka Bratušek 
VESNA ,VESNA – zelena stranka ,Urša Zgojznik in Uroš Macerl 
ZLS ,Za ljudstvo Slovenije ,Anica Bidar 
ZOS ,Zavezništvo Osvobodimo Slovenijo , 
ZSi ,Gibanje Zedinjena Slovenija ,Andrej Šiško 
Zeleni ,Zeleni Slovenije ,Andrej Čuš 
ZzD ,Zveza za dolenjsko ,Alenka Muhič 
