Stranka ,Stranka ,Stranka ,Predsednik ,Sedeži v DZ ,Sedeži v DZ 
Stranka ,Stranka ,Stranka ,Predsednik ,2018 ,Trenutno 
 ,DeSUS ,DeSUS- Demokratična stranka upokojencev Slovenije ,Ljubo Jasnič ,5 / 90 ,4 / 90[Op. 1] 
 ,DD ,Dobra država ,Smiljan Mekicar , , 
 ,DOM ,Domovinska liga[5] ,Bernard Brščič , , 
 ,Resni.ca ,Državljansko gibanje Resni.ca[6] ,Zoran Stevanović , , 
 ,SVOBODA ,Gibanje SVOBODA[7] ,Robert Golob , , 
 ,SOS ,Gibanje SOS ,Gaber Marolt[8] , , 
 ,Konkretno[Op. 2] ,Konkretno[Op. 2] ,Zdravko Počivalšek ,10 / 90 ,4 / 90[Op. 3] 
 ,Levica ,Levica ,Luka Mesec ,9 / 90 ,7 / 90[Op. 4] 
 ,LBP ,Lista Borisa Popoviča[9] ,Boris Popovič , , 
 , LMŠ ,Lista Marjana Šarca ,Marjan Šarec ,13 / 90 ,14 / 90[Op. 5] 
 ,ND ,NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC[10] ,Aleksandra Pivec , , 
 ,SNP ,Naša prihodnost ,Ivan Gale , , 
 ,NSD ,Narodna stranka dela ,Marjan Poljšak , , 
 ,ZD ,Nestrankarska LJUDSKA LISTA gibanja Zdrava družba[3] ,Polona Kambič[11] , , 
 ,NSi ,Nova Slovenija - krščanski demokrati ,Matej Tonin ,7 / 90 ,7 / 90 
 ,Pirati ,Piratska stranka[12] ,Boštjan Tavčar , , 
 ,NLS ,Nova ljudska stranka ,Željko Vogrin , , 
 ,NS ,Nova socialdemokracija ,Andrej Magajna , , 
 ,SNP + DD ,Skupna lista Naša prihodnost in Dobra država[13] , , 
 ,SDS ,Slovenska demokratska stranka ,Janez Janša ,25 / 90 ,26 / 90[Op. 6] 
 ,SLS ,Slovenska ljudska stranka ,Marjan Podobnik , , 
 ,SNS ,Slovenska nacionalna stranka ,Zmago Jelinčič Plemeniti ,4 / 90 ,3 / 90[Op. 7] 
 ,SSN ,Stranka slovenskega naroda ,Miha Majc , , 
 ,SAK ,Stranka Aleksandra Kamenika ,Aleksander Kamenik , , 
 ,SD ,Socialni demokrati ,Tanja Fajon ,10 / 90 ,13 / 90[Op. 8] 
 ,SAB ,Stranka Alenke Bratušek ,Alenka Bratušek ,5 / 90 ,6 / 90[Op. 9] 
 ,VESNA ,VESNA – zelena stranka[14] ,Urša Zgojznik in Uroš Macerl , , 
 ,ZLS ,Za ljudstvo Slovenije[15] ,Anica Bidar , , 
 ,ZOS ,Zavezništvo Osvobodimo Slovenijo[15] , , , 
 ,ZSi ,Gibanje Zedinjena Slovenija ,Andrej Šiško , , 
 ,Zeleni ,Zeleni Slovenije ,Andrej Čuš , , 
 ,ZzD ,Zveza za dolenjsko ,Alenka Muhič[16] , , 
