Kratica stranke,Ime stranke,Predsednik,Člani
DeSUS,Demokratična stranka upokojencev Slovenije,Ljubo Jasnič,"Ljubo Jasnič,Marija Pukl,Brigita Čokl,mag. Julijana Bizjak Mlakar,Franc Jurša,Doc. dr. Srečko Felix Krope"
DD,Dobra država,Smiljan Mekicar,"Tjaša Zupan,mag. Spela Gomboc,Branko Marš,dr. Borut Werber,Mateja Čadež,Zvezdana Stojaković,Zvezdana Stojaković,Živko Rus,Andrej Pavletič,Aleš Kavčič,Adrijana Krajnc Vasović,Igor Crnić,Zlatko Gombar,Lejla Bratić,Leon Graziola,mag. Tina Vidić,Danilo Tkalec,Alenka Rozman,Tjaša Viktorija Volk,Alenka Rozman,Adrijana Zalar,Andrej Mattias,Janez Marinčič,mag. Ingrid Kuk Kikl,mag. Tilen Majnardi,Deja Krajnc,dr. Jaka Vadnjal,Simona Leskovec,mag. Zlatka Kos,Peter Golob,Urška Gagel Boštar,Danica Rosc Orehek,Gabrijel Leskovec,Mitja Vilar,Peter Perhaj Puntar,Verica Lukić,Natalija Tripković,mag. Zoran Kus,dr. Bojan Dobovšek,Smiljan Mekicar,Snežana Tričković,Anton Može,Dušan Škoberne,Metka Modic,Igor Gobec ,Helena Zajc,Milena Tepić,Andrej Kranjc,Nataša Koštomaj,Nataša Koštomaj,Gašper Oswald,Gašper Oswald,Rok Rus,Anton Zvone Kambič,Rok Mežnar,Maja Dragan,Franc Jarc,Božidar Resnik,Damjana Pirc,Božidar Resnik,Sabina Kosmatin,mag. Hedvika Hribšek,Iztok Hribovšek,Goran Domanjko,mag. Rosvita Svenšek,Peter Šajn,Alenka Orbović,mag. Peter Hronek,Primož Tručl,Silvester Lipošek,mag. Gregor Ficko,Vesna Rožanc,mag. Magdalena Medved,Metka Sparavec,Uroš Lovrenčič,Robert Gostinčar,Mirko Luci,Dušan Režonja,Adrijana Gomboc,Adrijana Gomboc,Mitja Ficko,Jerica Ketiš,Andreja Urbanija,Matija Zorec,Terezija Vidovič,Terezija Vidovič"
DOM,Domovinska liga,Bernard Brščič,"mag. Bernard Brščič,Danijel Jaklič,Žiga Jereb,Alen Behek,Bruno Vidmar,Luka Kavčič,Matija Ferjan,Matija Horvat,Norma M. Brščič,Urban Dolenc,Matija Šorli,Aleš Kopitar,Luka Uršič"
Resni.ca,Državljansko gibanje Resni.ca,Zoran Stevanović,"Zoran Stevanović,Mitja Žnidar,Tamara Krajnc Stepišnik,Ana Pavlovski,Neven Polajnar,Anita Praprotnik,Marko Gavranović,Dijana Kovič,Špela Vehar,Rok Držanič,Aljaž Rupnik,Zoran Stevanović,Mitja Žnidar,Tamara Krajnc Stepišnik,Ana Pavlovski,Neven Polajnar,Anita Praprotnik,Marko Gavranović,Dijana Kovič,Špela Vehar,Rok Držanič,Aljaž Rupnik,Matej Hosner,Sabrina Simonovich,Damjan Bertok,Mojca Lampe,Robert Vodopija,Aleksander Ževart,Ines Miklaužić,Jadranka Kocbek Mervič,Martin Vidmar,Matej Hosner,Sabrina Simonovich,Damjan Bertok,Mojca Lampe,Robert Vodopija,Aleksander Ževart,Ines Miklaužić,Jadranka Kocbek Mervič,Martin Vidmar,Bojan Durič,Eva Šimunić,Matjaž Gorjup,Alenka Viceljo,Sanja Grujović,Nevenka Hribar,Tomaž Avsenik,Andrej Bohinc,Roman Fileš,Andrej Žerovc,Marko Gubanc,Bojan Durič,Eva Šimunić,Matjaž Gorjup,Alenka Viceljo,Sanja Grujović,Nevenka Hribar,Tomaž Avsenik,Andrej Bohinc,Roman Fileš,Andrej Žerovc,Marko Gubanc,Polonca Trček,Julijan Tanko,Ermin Kentrić,Boris Žerovc,Darja Savarus,Almira Halavać,Darko Garjetović,Gaj Kolar,Gordana Grobelnik,Špela Bohte,Urban Tavčar,Polonca Trček,Julijan Tanko,Ermin Kentrić,Boris Žerovc,Darja Savarus,Almira Halavać,Darko Garjetović,Gaj Kolar,Gordana Grobelnik,Špela Bohte,Urban Tavčar,Davorin Cizej,Mateja Pozeb,Renata Kragolnik,Anja Bevc,Klemen Matič,Stanka Golob,Lidija Šolinc,Iztok Kotnik,Gregor Aberšek,Žiga König,Mirnes Mešić,Davorin Cizej,Mateja Pozeb,Renata Kragolnik,Anja Bevc,Klemen Matič,Stanka Golob,Lidija Šolinc,Iztok Kotnik,Gregor Aberšek,Žiga König,Mirnes Mešić,Pavel Šuštarič,Borut Zoran,Mateja Tomič,Ratko Kosanović,Nada Pavlovski,Katja Rožman,Olga Čepin,Antonio Dijaković,Rajko Povše,Alen Turanović,Petra Vrtačnik,Pavel Šuštarič,Borut Zoran,Mateja Tomič,Ratko Kosanović,Nada Pavlovski,Katja Rožman,Olga Čepin,Antonio Dijaković,Rajko Povše,Alen Turanović,Petra Vrtačnik,Karmen Drozg,Nani Franc Matjašič,Simona Pec,Robert Leva,Marinka Valand,Zoran Jerković,Katja Kokot,Nina Radenković,Darko Zimič,Marina Baćić,Denis Blažan,Karmen Drozg,Nani Franc Matjašič,Simona Pec,Robert Leva,Marinka Valand,Zoran Jerković,Katja Kokot,Nina Radenković,Darko Zimič,Marina Baćić,Denis Blažan,Kornelija Jaklovič Činč,Anita Bratiščak Hanželič,Špela Strelec,Jože Korpič,Karin Abramušić,Mirko Mahorič,Mirko Radujković,Slavko Moharič,Sergej Ivanuša,Martina Haring,Kornelija Jaklovič Činč,Anita Bratiščak Hanželič,Špela Strelec,Jože Korpič,Karin Abramušić,Mirko Mahorič,Mirko Radujković,Slavko Moharič,Sergej Ivanuša,Martina Haring"
SVOBODA,Gibanje SVOBODA,Robert Golob,"Katarina Štravs,Eva Knez,mag. Alma Intihar,Andreja Kert,Sandra Gazinkovski,Tomaž Krišelj,mag. Borut Sajovic,Gašper Poženel,Simon Peternel,Aleš Lipičnik,Sara Erdić Vuga,Uroš Brežan,Danijel Bešič Loredan,Robert Janev,mag. Tamara Kozlovič,Mateja Čalušić,Andreja Živic,Boštjan Kerma,Aleksander Prosen Kralj,Matej Arčon,Mojca Stegovec,Domen Petan,Bojan Čebela,dr. Igor Papič,Mojca Pašek Šetinc,Lucija Tacer,Ksenija Pišljar,dr. Robert Golob,Lenart Žavbi,mag. Urška Klakočar Zupančič,Alenka Sivka,Aleksandra Marijanović,Lucija Ana Vrščaj,Rok Bulc,Dimitrij Zadel,Miroslav Gregorič,mag. Martin Premk,dr. Mirjam Bon Klanjšček,Tereza Novak,Monika Pekošak,Mateja Zupan Josipović,Branko Zlobko,Danica Polak Gruden,Miha Lamut,Janja Sluga,Aleš Rezar,Dean Premik,Miha Brodnik,Tatjana Zafošnik Kanduti,dr. Milan Žvan,Dušan Stojanovič,Mojca Kert,dr. Damaz Topler,Jana Jerman,Simona Pirnat Skeledžija,Jožica Derganc,Leon Lobe,mag. Nataša Avšič Bogovič,Tamara Vonta,Jernej Žnidaršič,Marjan Mačkošek,Franc Props,Gašper Ovnik,Teodor Uranič,David Stupica,Vesna Skerbinek,Urban Kodrič,Jurij Lep,Tomaž Lah,Andreja Rajbenšu,Leonida Polajnar,Lena Grgurevič,Barbara Kolenko Helbl,Rastislav Vrečko,Martin Marzidovšek,Dejan Süč,Damjan Rajh,Sara Žibrat,mag. Simon Detellbach,Tine Novak,Vera Granfol,Igor Barton,Darko Krajnc,Ljudmila Grabar,Dejan Zavec,mag. Bernardka Jurič"
SOS,Gibanje SOS,Gaber Marolt,"Gaber Marolt,Nina Majcen,dr. Gorazd Korošec,Drago Bubnjar"
Konkretno,Konkretno,Zdravko Počivalšek,"Miha Rebolj,Mirko Jeršič,Andrej Maver,Marija Mija Aleš,Janez Remškar,Franc Čebulj,mag. Alenka Bradač,Darija Jamnik,Anton Luznar,dr. Simona Kustec,Jurij Kavčič,Marko Matajurc,dr. Gorazd Pretnar,Gregor Perič,Vlasta Vežnaver,Tamara Mikin,Klementina Križman,Borut Rojc,dr. Nada Pavšer,Kostja Jelinčič,Vasja Medvešček,Oskar Birsa,Berto Menard,Nejc Škof,Janez Cimperman,Monika Gregorčič,Monika Zupanc Kovač,Alojz Kovšca,Andrej Magajna,Sara Iseinoski,Špela Jovanovič,Alojz Kovšca,Dragan Djukić,Maja Klemen Cokan,Kaja Galič,dr. Peter Gašperšič,dr. Nina Strah,Oto Pestner,dr. Luj Šprohar,Ksenija Flegar,mag. Dušan Verbič,Simon Zajc,dr. Milan Balažic,mag. Tomaž Štebe,dr. Tina Bregant,Roman Pungartnik,Polona Rifelj,Urška Žolnir Jugovar,Sebastijan Kamenik,Jakob Presečnik,Darko Koželj,Matic Mežnar,Ivan Meh,Erika Mubi Smolak,Rene Dopler,Boris Grabrijan,Zvonko Lah,Marjanca Trščinar Antić,Ana Moder,Rok Capl,Ana Somrak,Janez Kukec,Boža Herek,Lijana Lovše,Gregor Pajić,Primož Jelševar,Zdravko Počivalšek,Modest Motaln,Marko Cigler,Anita Jodl,mag. Monika Kirbiš Rojs,Breda Čepe Vizjak,Franc Kangler,Damir Orehovec,Franc Slavinec,mag. Helena Kujundžić Lukaček,Boštjan Jambrovič,Darko Horvat,Mojca Žnidarič,Helena Krajnc,Franc Feri Küčan,dr. Mitja Slavinec,Mojca Marovič,Marjan Bračko,Miša Pušenjak,Andrej Čuš,Sergeja Puppis Freebairn,Ivan Brodnjak"
Levica,Levica,Luka Mesec,"Dušan Krnel,Milan Rejc,Jan Podgornik,Ana Černe,Janez Rozman,Draga Štromajer,Mateja Hočevar,Miha Kordiš,Ivan Albreht,Ivan Mitrevski,Sara Dejanović,Blaž Jug,Nina Ukmar,Alan Medveš,Matej Tašner Vatovec,Maja Tašner Vatovec,Bojan Pahor,Safet Salkić,Tina Žigon,Andrej Pelicon,Marko Rusjan,Meri Hreščak,Peter Terčič,Marko Močnik,Iva Padar,Ištvan Išt Huzjan,Milan Jakopovič,Brina Minca Herlec,Luka Mesec,Asta Vrečko,Dan Juvan,Arne Jakob Zakrajšek,Alenka Pirjevec,Ivan Horvat,Mitja Svete,Marjeta Mencin Čeplak,Luka Pirnat,Dušan Pene,Luka Omladič,Svetlana Slapšak,Urška Honzak,Nataša Sukič,Arne Jernej Stare,Lan Jenull,Aleš Gulič,Žiga Vipotnik,Simon Maljevac,Mateja Žvižej,Andreja Banič Zebec,Dorotea Pospihalj,Janko Belin,Neža Oder,Milan Mrđenović,Vladimir Jarh Nikolić,Jožica Fortun Tomažič,Ksenja Lorber,Marko Tratar,Peter Dirnbek Vatovec,Aleš Suša,Sašo Jejčič,Tina Kolar,Kaja Mlakar Agrež,Primož Siter,Eva Koprivšek Petkovšek,Darko Radiković,Aleksander Sašo Slaček Brlek,Lucija Golčer,Drago Bolčina,Vladimir Šega,Urška Lipovž,Matic Komel,Tatjana Greif,Ramona Arnuš,Borut Osonkar,Tatjana Frangež,Marko Sraka,Ivan Babič,Janez Brumen,Drago Balajc,Lara Štrokaj,Marijana Koren Ban,Jasna Lipovž,Nenad Cekić,Rok Leban,Boštjan Koražija,Lina Habjanič"
LBP,Lista Borisa Popoviča,Boris Popovič,"Grega Šebjanič,Tim Borse,Andrej Boldin,Nadja Poljanec,Lea Klinar Lukan,Asja Bonnie Pivk,Bernard Bečan,Alexander Kadić,Gregor Hlupič,Mojca Podobnik Rozman,Darko Peljhan,Tadej Mihalič,Anja Pečič,Rene Ristovski,Boris Popovič,Sara Pfeifer Pelicon,Urška Fidel,Valentina Žnidaršič,Predrag Bodiroža,Valter Kobal,Igor Dekleva,Maja Markov,Rok Bohinc,Kristina Čibarić,Nik Popovič,Tanja Pogačnik,Anže Lemež,Daliborka Grabovac,Vito Klavora Ljubljana,Ivan Vuković,Marijela Mencinger,Urh Erjavec,Klaudija Petrović,Svetislav Miljić,Romana Mencinger Čirjak,Lea Stropnik,Srečko Djumber,Jurček Dolenc,Tina Quéchon,Radomir Kopranović,Boštjan Grzinčič,Ivana Dominković,Ismet Kržalić,Adrian Blažević,Daniel Grabovac,Anja Poberžnik,Urška Doler,Timotej Cizej,Zdenka Pavlin Kapla,Hermina Ocvirk,Stefan Iljaž,Jakob John Freeland,Gregor Jelenc,Nataša Prinčič,Maša Kerin,Aleksander Radanović,Daša Gaber,Žanet Breški,Matej Ferk Čauči,Žan Štuber,Jaka Krčovnik,Bor Rehak Friš,Pablo Mohr,Zala Korošec"
LMŠ,Lista Marjana Šarca,Marjan Šarec,"Marjan Šarec,Jerca Korče,Igor Žavbi,mag. Ksenija Klampfer,Boštjan Poklukar,Janja Zorman Macura,Lara Jemec,Mateja Kirn,Jože Arko,Mateja Gradišek,Matija Podržaj,Urban Bergant"
